date,mslp,slhf,sshf,ssr,str,z500,z850,w10,wz500,wz850,sst
1981-09-01,100680.49,-467649.34,-29285.72,443485.66,-99918.34,57361.723,14530.975,10.048264,8.812061,14.670817,28.099998
1981-09-02,100705.51,-455310.56,-29917.111,405762.03,-87738.91,57336.805,14561.042,9.267905,5.704904,11.605553,28.0875
1981-09-03,100705.766,-519059.3,-74385.086,175737.16,-99786.18,57204.03,14504.734,8.591123,3.9223902,13.601095,28.085
1981-09-04,100742.164,-502851.4,-27842.541,274458.06,-113606.89,57262.23,14557.287,8.157328,3.3186111,13.719156,27.6475
1981-09-05,100993.79,-329016.25,-23339.203,454096.25,-120285.13,57490.504,14760.581,4.8095517,2.2638645,7.603681,27.8375
1981-09-06,101148.234,-174539.36,-12871.75,566101.1,-165741.8,57616.535,14884.252,1.6104095,4.672814,3.9595902,27.869999
1981-09-07,101121.625,-229302.36,-29842.312,780960.25,-151058.75,57582.85,14840.243,2.2918003,6.10078,4.1456,27.7925
1981-09-08,101039.89,-255243.23,-24194.992,694006.5,-164854.67,57592.855,14778.846,2.9345996,6.748801,2.6439393,28.1475
1981-09-09,101060.84,-184193.17,-20241.646,912439.56,-191683.3,57706.27,14810.54,1.3387456,2.9427686,2.4922218,28.152498
1981-09-10,101079.266,-197681.3,-10594.782,982988.06,-219594.81,57715.31,14860.984,1.1416107,4.29473,2.5277953,28.15
1981-09-11,101017.16,-210881.28,-4813.2627,918886.06,-181606.05,57666.996,14834.187,3.2130473,6.169021,2.419145,28.4375
1981-09-12,101061.016,-278977.25,-7904.219,959567.5,-192791.8,57702.355,14858.935,4.8117337,6.3134594,4.3934736,28.239998
1981-09-13,101113.22,-390668.94,-20195.447,953495.5,-192752.14,57758.38,14891.494,6.55256,6.896278,6.745332,28.019999
1981-09-14,101118.63,-564716.25,-71397.53,853345.44,-163258.0,57682.09,14853.98,9.078669,8.538746,10.709912,27.335
1981-09-15,101120.734,-714890.25,-81301.79,736155.0,-153767.22,57637.848,14856.395,10.972386,9.319718,13.244855,26.877499
1981-09-16,101117.0,-697960.44,-100729.72,567738.8,-148695.55,57641.52,14843.24,10.5181675,5.934892,12.039802,27.002499
1981-09-17,100988.6,-682569.44,-76512.46,536385.8,-152791.7,57557.92,14738.752,9.3492365,3.9114187,10.386607,28.0425
1981-09-18,100784.516,-604503.0,-50783.82,803413.8,-186149.89,57440.492,14587.292,8.77497,3.3415396,9.296119,28.235
1981-09-19,100584.586,-630763.7,-38103.195,866702.94,-180345.56,57332.047,14428.623,8.838504,9.225611,13.412915,28.2525
1981-09-20,99810.44,-1194386.2,-59720.094,452328.22,-107006.29,56777.293,13782.417,15.279049,20.160355,22.415857,28.365002
1981-09-21,99606.33,-1340789.2,-119145.664,113744.48,-113859.64,56676.977,13584.903,14.520443,14.70091,18.282959,28.172497
1981-09-22,100473.375,-344461.1,-35793.23,771539.4,-133963.77,57303.78,14329.084,5.717582,8.11809,6.7143817,26.6125
1981-09-23,100498.63,-386223.56,-34660.246,402567.25,-110556.45,57339.918,14345.08,6.238769,10.833908,7.6459146,26.005
1981-09-24,100791.49,-234836.92,-17491.686,814377.56,-156736.7,57601.04,14619.72,2.9281006,7.854561,5.0992527,26.105
1981-09-25,100937.74,-253090.2,-3796.8767,837627.5,-151230.56,57833.0,14774.148,6.243114,7.0913606,7.3497486,27.134998
1981-09-26,100923.625,-318323.9,-6181.6436,890938.75,-154731.17,57765.473,14754.927,7.8825397,8.309047,10.000239,27.474998
1981-09-27,100919.99,-253590.47,-25367.576,734837.25,-125548.43,57651.98,14707.009,4.300919,2.1654348,4.385879,27.505001
1981-09-28,100926.086,-175248.6,-20932.438,634983.44,-120608.93,57577.867,14693.869,1.0051081,4.133862,1.432691,27.537498
1981-09-29,100836.2,-232310.28,-30713.5,548420.75,-138095.44,57467.562,14598.843,2.1475995,8.209856,2.945175,27.6625
1981-09-30,100717.23,-251019.5,-15601.912,791291.2,-151986.36,57384.016,14504.608,2.5777063,5.6309667,1.9224949,27.84
1981-10-01,100782.13,-282073.8,-35865.83,681078.0,-142867.27,57400.258,14551.147,4.00166,2.3172007,3.3921957,27.7775
1981-10-02,100863.62,-415884.75,-58952.305,757196.06,-133994.33,57471.055,14609.495,6.32224,3.6662488,6.5159173,27.7175
1981-10-03,100884.2,-510529.5,-87052.516,324752.28,-134560.97,57477.285,14608.048,7.9187675,5.5567226,8.984448,28.0275
1981-10-04,100927.79,-516681.47,-69237.164,219679.73,-109981.555,57450.027,14664.452,7.8222575,8.039224,10.335389,27.975
1981-10-05,101069.67,-380286.9,-37251.81,483610.16,-140845.2,57539.098,14806.514,5.4564447,6.607394,6.404137,27.9725
1981-10-06,101025.164,-322927.6,-6269.642,839909.8,-166866.0,57588.1,14818.074,5.9767227,3.3206713,5.9162574,27.885
1981-10-07,101041.74,-275060.62,-4175.2715,793229.9,-166434.81,57626.957,14841.803,5.463886,3.5337443,4.008742,28.557499
1981-10-08,101145.625,-163242.28,-8007.6177,838430.94,-183459.6,57656.797,14929.873,2.1949432,3.150336,1.5499091,28.409998
1981-10-09,101236.31,-501515.25,-77106.45,799320.8,-180517.38,57566.61,14921.775,7.8969846,0.4563128,7.217245,28.154999
1981-10-10,101202.06,-856752.9,-104980.06,692390.1,-181368.16,57495.71,14848.491,11.188217,3.6998665,11.020849,27.357498
1981-10-11,101183.54,-703523.5,-68733.37,756963.75,-165144.6,57625.566,14873.77,10.448609,5.1795025,10.380198,27.037498
1981-10-12,101212.77,-638261.3,-51404.21,647627.5,-141084.75,57762.58,14925.103,11.011285,8.486633,13.440323,27.2675
1981-10-13,101168.64,-585271.4,-21799.225,769543.9,-159221.33,57753.82,14908.034,11.208981,7.75113,14.135714,27.2925
1981-10-14,101255.06,-588551.56,-39687.176,738799.94,-160221.61,57756.246,14964.327,11.48097,6.0652676,12.406489,27.2075
1981-10-15,101221.55,-470255.12,-10810.379,754852.06,-167799.38,57764.88,14952.105,9.439859,2.5866282,9.109274,27.215
1981-10-16,101171.04,-367900.62,-17782.082,780514.7,-175108.69,57742.16,14906.314,7.677744,0.94288266,8.038428,27.89
1981-10-17,101073.15,-284853.75,-12022.562,833982.4,-206529.89,57682.926,14812.735,4.689475,3.3565516,3.462127,27.952501
1981-10-18,100957.67,-264162.5,-18079.076,791127.6,-173223.75,57624.58,14705.862,3.826475,3.1009316,5.6084337,27.422499
1981-10-19,100822.2,-578736.3,-46997.67,759329.06,-171963.27,57551.5,14562.811,8.727289,9.099254,10.679098,26.914999
1981-10-20,100687.41,-745225.8,-62896.85,777523.7,-199035.56,57404.477,14415.508,10.1469,9.089948,10.039909,27.0225
1981-10-21,100792.94,-587202.75,-45352.094,637554.94,-202204.11,57471.688,14526.578,7.6719427,3.855537,8.401624,27.4
1981-10-22,101162.69,-612060.8,-55097.957,830126.4,-228927.0,57640.28,14836.635,7.7130265,4.9707937,8.068073,27.307499
1981-10-23,101611.48,-1258439.0,-205384.45,392639.22,-128434.49,57656.855,15081.357,13.582943,6.9938498,13.96827,27.2775
1981-10-24,101729.74,-1283449.0,-130213.71,322925.0,-134890.55,57690.043,15188.372,12.476794,7.7310023,9.793205,27.037498
1981-10-25,101748.44,-1185267.6,-116120.7,597058.4,-193998.58,57725.02,15217.211,12.706005,4.472511,13.706901,26.05
1981-10-26,101635.19,-1582388.0,-59062.305,669609.5,-205869.1,57721.805,15117.711,14.213983,3.4250245,15.134172,26.115
1981-10-27,101498.945,-1152034.9,-22582.414,547268.94,-155432.44,57742.652,15075.072,13.026991,2.7671244,13.130016,26.797499
1981-10-28,101409.836,-973238.25,-12059.961,630615.5,-153669.75,57698.71,15017.05,11.428134,3.0878973,11.225832,26.8875
1981-10-29,101208.0,-802230.5,-30684.9,658446.7,-153023.81,57591.71,14870.812,12.271514,2.7107291,12.218571,26.460001
1981-10-30,101073.266,-477714.75,-16679.896,676522.8,-146296.02,57551.156,14798.416,9.634237,4.2732596,9.639101,26.719997
1981-10-31,101210.64,-326461.1,-30860.898,556019.06,-125404.7,57697.766,14901.841,6.8026266,4.925403,4.0973854,26.869999
1981-11-01,101146.45,-160433.84,-5554.6523,638536.1,-154736.95,57756.527,14890.086,1.452611,6.091689,1.9441794,27.172499
1981-11-02,101158.97,-343729.7,-33756.06,619666.0,-142431.14,57659.9,14856.783,5.597021,6.9793096,1.613816,27.172499
1981-11-03,101211.78,-736024.75,-44126.71,574128.4,-150835.73,57702.344,14883.12,11.80393,5.2661467,7.063228,27.0775
1981-11-04,101111.36,-493587.03,-1438.5099,645416.3,-168524.61,57718.13,14849.21,9.025655,1.5306318,6.954043,27.115
1981-11-05,101234.58,-365260.0,-5957.2466,760288.94,-194088.61,57843.984,14951.338,7.639828,4.75883,6.631434,27.305
1981-11-06,101446.98,-506856.7,-49694.836,685860.75,-175860.36,57843.617,15077.792,10.760659,6.8919783,12.18153,27.024998
1981-11-07,101591.07,-983864.06,-166286.61,576420.2,-145451.0,57662.85,15083.67,13.973257,6.3675675,16.094822,26.97
1981-11-08,101607.29,-1365555.5,-208222.42,291811.34,-139526.9,57412.652,15025.099,15.448914,6.740961,18.763212,26.925
1981-11-09,101641.94,-1429155.4,-233374.67,333075.8,-154977.31,57395.1,14998.572,15.254477,8.254808,17.064783,25.945
1981-11-10,101689.805,-1374085.2,-184931.34,232700.62,-138107.0,57536.61,15049.449,14.48058,7.516128,14.093944,25.619999
1981-11-11,101633.664,-1297057.4,-102907.69,387162.1,-142635.16,57638.73,15048.876,13.785792,6.7310166,9.83604,25.755001
1981-11-12,101600.67,-1098684.0,-40439.562,506589.88,-152851.17,57744.145,15053.427,12.092292,5.23747,8.3844795,25.49
1981-11-13,101579.29,-896048.9,-16358.701,407423.4,-138069.83,57783.08,15055.992,11.885903,7.296072,12.603511,25.422499
1981-11-14,101519.43,-714573.6,-22050.021,500228.75,-153502.06,57780.17,15038.219,11.560361,5.688245,10.998924,25.4025
1981-11-15,101399.04,-403637.78,-4846.262,586635.0,-137481.72,57720.004,14994.269,9.559998,4.04329,6.7147245,25.355
1981-11-16,101374.89,-354678.5,-25180.578,622848.94,-168356.94,57623.34,14964.05,9.339922,6.4457426,8.613834,25.6625
1981-11-17,101551.49,-915654.1,-93610.62,590851.3,-150745.69,57520.254,15008.413,13.042404,7.733063,12.004646,25.9025
1981-11-18,101617.55,-1231320.2,-91870.445,646186.56,-217382.77,57473.984,14987.215,12.845675,8.617397,11.500316,25.905
1981-11-19,101439.59,-1206525.6,-56301.344,681985.75,-240025.2,57629.27,14846.102,11.489359,3.8768532,10.580415,25.8975
1981-11-20,101291.49,-699119.25,-30383.506,415626.06,-99529.3,57722.3,14845.023,10.83873,6.2281976,11.279547,25.432499
1981-11-21,101268.81,-507208.12,-18211.076,427260.5,-108731.81,57695.645,14874.387,12.155242,5.7126675,12.147957,25.035
1981-11-22,101222.484,-623674.5,-25092.578,641434.7,-155001.27,57612.73,14828.1,11.778579,5.3896246,10.313372,25.247498
1981-11-23,101129.87,-613745.25,-33003.668,671564.75,-218315.33,57566.145,14730.334,10.460574,2.7773304,10.879689,25.265
1981-11-24,100827.48,-910939.6,-48599.25,583364.4,-134997.92,57317.312,14456.15,13.470395,7.5125675,17.52621,25.4575
1981-11-25,100470.8,-794378.25,-83517.164,135641.11,-91218.87,57056.703,14204.661,13.048193,15.414184,15.10357,24.9675
1981-11-26,101097.62,-941895.8,-108335.016,393141.66,-135946.17,57431.5,14614.197,12.281708,7.9402957,14.10697,24.9675
1981-11-27,101574.17,-1240119.2,-186026.92,416038.44,-146671.84,57567.37,14915.33,13.405122,4.8352814,10.879093,25.3675
1981-11-28,101751.96,-1448038.8,-208864.81,360904.62,-211692.42,57572.227,15014.329,13.541698,2.2843864,13.106341,25.187498
1981-11-29,101818.58,-1417127.0,-122960.414,535369.06,-232479.64,57647.49,15095.561,13.135878,4.9404125,13.569674,25.2325
1981-11-30,101938.08,-1189785.8,-149500.84,488006.53,-196742.56,57706.844,15209.871,13.510632,4.3925543,13.605833,25.127499
1981-12-01,102107.336,-1360818.9,-230901.9,163548.12,-118167.26,57650.004,15292.618,15.437096,6.345526,17.202505,24.592499
1981-12-02,102194.22,-1614449.1,-290873.06,204544.77,-148555.95,57540.656,15271.57,15.286117,9.005284,15.061289,24.4325
1981-12-03,101921.51,-1308573.0,-156780.53,305088.22,-174382.64,57472.688,15102.478,12.49694,9.501849,11.977199,23.634998
1981-12-04,101678.766,-1196729.2,-58681.71,530448.9,-201886.1,57522.637,14955.656,11.871633,7.692675,11.514122,23.887499
1981-12-05,101688.414,-874116.44,-81825.38,522220.2,-214694.95,57572.113,14959.508,10.013039,8.175933,8.524956,24.1125
1981-12-06,101695.85,-846674.8,-123446.6,305988.84,-130996.76,57571.45,14983.796,11.997435,8.185128,10.178201,24.16
1981-12-07,101724.305,-1028837.1,-124218.79,263281.03,-113634.15,57570.043,14989.246,12.801932,7.001167,10.250476,22.619999
1981-12-08,101803.086,-1026934.25,-106264.84,187227.02,-99299.664,57725.168,15080.634,12.54214,5.0289454,7.6490088,22.6325
1981-12-09,101948.99,-867467.4,-55619.35,307325.53,-128125.56,57810.07,15217.871,10.03619,6.030039,7.839752,23.2125
1981-12-10,101923.555,-684054.4,-93700.82,422131.78,-158235.9,57773.715,15158.013,8.800513,4.851966,7.4026675,23.3325
1981-12-11,101759.95,-661244.9,-92649.234,366523.94,-153359.17,57655.496,15045.043,8.831038,6.2278156,6.955831,23.31
1981-12-12,101756.37,-577235.5,-75227.68,443935.97,-169742.14,57585.734,15088.964,9.334925,9.321903,7.7253733,23.294998
1981-12-13,101883.055,-781751.4,-125672.98,466839.88,-163624.75,57437.59,15161.87,11.945099,12.537725,10.520175,23.289999
1981-12-14,102021.8,-1061658.2,-239015.39,316954.9,-212050.08,57194.336,15160.5,13.13412,12.803786,11.016327,23.3
1981-12-15,102109.3,-1078290.4,-224352.6,513403.7,-263022.8,57182.805,15204.426,12.019272,12.211091,10.332184,23.154999
1981-12-16,102096.65,-1093013.2,-133086.88,546531.9,-267692.22,57343.43,15242.266,11.997525,13.225273,12.168125,23.857498
1981-12-17,102095.28,-1049161.1,-72598.71,617547.25,-269397.1,57472.125,15277.842,11.725995,13.213334,12.535817,24.014997
1981-12-18,102166.38,-1105728.9,-172345.31,528560.0,-229382.95,57483.68,15264.818,12.028936,11.882703,10.30666,23.9225
1981-12-19,102142.56,-1388152.9,-221624.62,501821.38,-198777.02,57345.81,15167.728,12.393495,16.431122,8.415834,23.967499
1981-12-20,102156.664,-1067892.5,-191141.86,363419.22,-216033.9,57307.617,15180.284,10.313881,19.01754,8.73684,24.215
1981-12-21,102060.17,-1041641.3,-89593.48,519745.88,-233440.3,57426.426,15177.525,10.317989,18.470734,9.117942,24.425
1981-12-22,101901.1,-783806.25,-57014.133,568940.44,-282927.03,57443.555,15098.688,8.579189,20.839346,5.3017073,24.512499
1981-12-23,101755.44,-807670.06,-63314.844,678546.9,-255057.66,57429.484,14994.929,9.764807,21.835249,7.3797717,24.477499
1981-12-24,101664.91,-793330.25,-58219.715,356536.66,-148339.55,57469.05,14962.758,12.459641,18.196613,10.1678505,24.369999
1981-12-25,101599.13,-656625.4,-33723.06,319275.2,-90200.41,57617.926,14973.061,11.920718,8.11789,8.014274,23.029999
1981-12-26,101397.97,-420080.0,-5363.255,371875.44,-112072.17,57735.54,14895.438,9.598611,3.0964603,6.8873367,22.86
1981-12-27,101206.5,-57889.355,19263.201,235608.66,-38412.41,57598.234,14841.525,6.791855,4.5245466,1.5891656,23.564999
1981-12-28,101179.125,-985.98773,-41.52935,535779.06,-97930.15,57396.02,14840.204,1.2914433,9.569433,7.369154,23.387499
1981-12-29,101321.38,-28506.803,-2193.0994,515157.53,-114822.766,57355.83,14889.474,1.9831092,9.557507,5.0569496,22.925
1981-12-30,101441.81,-96064.516,-7512.6245,391058.4,-78508.31,57360.43,14943.392,2.0255516,14.771029,2.6676514,22.947502
1981-12-31,101696.52,-639597.44,-118674.87,333016.56,-105513.695,57146.32,15006.164,11.315513,20.645315,5.696904,23.1525
1982-01-01,101733.12,-738570.1,-105706.1,241679.4,-141036.84,56999.125,14992.599,11.549593,19.251163,9.967454,23.09
1982-01-02,101545.73,-636202.56,-49641.926,326781.94,-118557.95,57028.742,14896.09,11.418697,16.775301,9.6443205,22.814999
1982-01-03,101503.5,-440859.1,-37702.074,488663.66,-207795.33,57114.07,14875.284,8.227823,21.814877,0.47408187,22.5875
1982-01-04,101578.82,-468431.78,-64706.645,656935.4,-282643.72,56929.266,14886.196,7.526178,25.089684,2.4864283,22.529999
1982-01-05,101644.945,-669268.7,-111699.54,537518.4,-226992.5,56826.484,14899.422,10.38075,18.032558,8.292187,22.339998
1982-01-06,101765.72,-737590.3,-108532.35,510347.38,-173044.5,57032.742,14996.046,10.446826,20.296642,8.668678,22.544998
1982-01-07,101799.586,-696859.9,-145816.77,528721.25,-229877.73,57102.17,14985.032,10.2788725,19.32061,9.863316,22.654999
1982-01-08,101661.43,-691546.06,-123716.984,508347.72,-222841.83,57050.043,14887.172,10.214803,20.7365,9.818149,22.8
1982-01-09,101475.836,-779762.8,-49237.508,555451.56,-257987.48,56884.844,14780.061,9.249249,24.126406,7.237556,23.057499
1982-01-10,101352.4,-699020.25,-13500.241,625438.0,-232387.95,56845.266,14738.616,9.363922,23.803299,7.828415,23.14
1982-01-11,101256.336,-295669.34,-26194.857,389930.6,-141995.83,56972.633,14716.956,6.430074,20.47206,3.9042974,23.3125
1982-01-12,101336.19,-373018.12,-19512.49,603410.7,-208839.4,57135.6,14754.179,7.3597965,18.300688,3.5341794,23.4875
1982-01-13,101323.63,-588647.6,-11645.072,621040.6,-227161.0,57032.465,14700.09,8.118919,20.372906,5.5208936,23.477499
1982-01-14,101401.234,-610584.3,-112861.08,511091.34,-238432.66,56819.04,14710.978,9.66419,27.294052,5.806756,23.1775
1982-01-15,101623.58,-793987.56,-162261.69,604180.75,-273371.0,56688.484,14808.471,10.207803,27.185286,5.3074703,23.067497
1982-01-16,101774.56,-1071798.2,-200148.03,445758.16,-213480.72,56542.566,14889.735,12.609591,27.98704,11.558801,23.1475
1982-01-17,101885.68,-1102505.9,-182889.56,437032.1,-246331.73,56545.547,14983.56,12.418011,28.217823,9.714093,23.2225
1982-01-18,101956.734,-1094215.5,-178278.69,607095.0,-285291.88,56520.555,15023.709,11.618759,29.820473,7.0615845,23.142498
1982-01-19,101810.305,-981505.56,-186094.38,487275.25,-203514.16,56421.7,14939.798,12.371117,29.835712,11.012395,22.602499
1982-01-20,101843.695,-951835.9,-81675.914,545972.0,-240852.03,56616.0,15023.491,11.906927,20.587189,9.797436,22.1925
1982-01-21,101653.96,-745011.7,-23295.717,666682.6,-256062.08,56716.7,14933.26,10.447471,21.264565,7.936265,22.2275
1982-01-22,101587.52,-438661.72,1613.8552,622673.06,-240723.17,56954.785,14932.83,8.394063,18.15474,5.3283906,22.3325
1982-01-23,101689.33,-572862.0,14943.321,696405.3,-260853.72,57439.42,15003.308,9.252779,11.983759,5.0408826,22.182499
1982-01-24,101748.336,-326001.94,13393.821,722481.75,-272637.5,57711.293,15067.445,6.7228813,5.952116,2.5368147,22.8325
1982-01-25,101893.9,-552187.75,-21064.342,698497.44,-238820.89,57691.21,15144.953,9.0905905,7.6092777,8.310716,22.887499
1982-01-26,101952.57,-630207.4,-75830.6,500123.9,-178605.17,57586.688,15176.271,10.881563,9.563436,11.959597,22.602499
1982-01-27,101907.586,-786785.4,-74981.79,408095.94,-172463.0,57471.707,15112.636,11.464452,9.71184,9.315674,22.419998
1982-01-28,102009.445,-887771.6,-127500.21,604453.2,-227165.97,57495.734,15153.21,11.803516,8.114361,10.358989,22.1025
1982-01-29,102167.95,-1120404.2,-143373.78,553378.44,-223600.92,57532.617,15237.141,12.659396,8.562766,10.463435,22.21
1982-01-30,102047.46,-970830.44,-76169.19,599939.7,-250546.84,57488.586,15177.508,11.000221,12.306957,10.364015,22.470001
1982-01-31,101863.234,-626256.4,-19980.396,592985.8,-226472.12,57524.066,15087.909,8.963201,11.626557,9.599593,22.555
1982-02-01,101811.18,-737717.06,54.949646,702968.3,-267844.2,57498.82,15064.795,10.927691,5.443757,14.765044,22.545
1982-02-02,101672.25,-805724.44,-36596.97,639788.8,-217978.31,57388.895,14951.454,12.497111,8.018001,12.93128,22.5175
1982-02-03,101502.83,-432442.03,8597.188,572223.75,-197886.6,57341.426,14852.971,7.684222,13.352174,1.7267525,22.295
1982-02-04,101491.17,-205677.8,-15211.98,660712.0,-215299.58,57288.15,14869.142,5.7256203,13.3199835,7.0040517,22.7025
1982-02-05,101526.59,-402922.88,-38000.688,657762.25,-206344.88,57184.31,14870.03,8.856926,13.318111,7.4610233,22.307499
