date,sst
1989-12-31,27.09
1990-01-07,26.64
1990-01-14,26.42
1990-01-21,26.71
1990-01-28,26.779999
1990-02-04,26.619999
1990-02-11,26.869999
1990-02-18,27.199999
1990-02-25,27.449999
1990-03-04,27.93
1990-03-11,28.189999
1990-03-18,29.13
1990-03-25,28.65
1990-04-01,28.92
1990-04-08,28.96
1990-04-15,29.199999
1990-04-22,29.39
1990-04-29,29.859999
1990-05-06,29.99
1990-05-13,29.359999
1990-05-20,29.359999
1990-05-27,30.039999
1990-06-03,30.16
1990-06-10,29.8
1990-06-17,29.81
1990-06-24,29.64
1990-07-01,29.099998
1990-07-08,28.519999
1990-07-15,28.57
1990-07-22,28.68
1990-07-29,28.55
1990-08-05,29.17
1990-08-12,29.07
1990-08-19,28.47
1990-08-26,28.64
1990-09-02,28.699999
1990-09-09,28.8
1990-09-16,29.05
1990-09-23,29.279999
1990-09-30,29.179998
1990-10-07,29.05
1990-10-14,29.09
1990-10-21,28.55
1990-10-28,28.359999
1990-11-04,27.57
1990-11-11,28.13
1990-11-18,28.349998
1990-11-25,28.07
1990-12-02,27.84
1990-12-09,27.63
1990-12-16,26.849998
1990-12-23,26.55
1990-12-30,26.63
1991-01-06,26.25
1991-01-13,26.42
1991-01-20,26.41
1991-01-27,26.39
1991-02-03,26.81
1991-02-10,27.14
1991-02-17,27.07
1991-02-24,27.33
1991-03-03,27.769999
1991-03-10,28.199999
1991-03-17,28.47
1991-03-24,29.279999
1991-03-31,29.01
1991-04-07,29.59
1991-04-14,29.75
1991-04-21,30.56
1991-04-28,28.99
1991-05-05,29.31
1991-05-12,29.75
1991-05-19,29.99
1991-05-26,30.81
1991-06-02,30.22
1991-06-09,30.08
1991-06-16,28.81
1991-06-23,29.109999
1991-06-30,29.429998
1991-07-07,29.05
1991-07-14,28.91
1991-07-21,29.34
1991-07-28,28.48
1991-08-04,29.019999
1991-08-11,28.66
1991-08-18,28.3
1991-08-25,28.34
1991-09-01,29.14
1991-09-08,30.08
1991-09-15,29.41
1991-09-22,28.96
1991-09-29,29.429998
1991-10-06,29.41
1991-10-13,29.14
1991-10-20,29.16
1991-10-27,28.99
1991-11-03,28.67
1991-11-10,28.279999
1991-11-17,27.939999
1991-11-24,27.189999
1991-12-01,26.76
1991-12-08,26.14
1991-12-15,26.58
1991-12-22,26.599998
1991-12-29,26.699999
1992-01-05,26.019999
1992-01-12,25.92
1992-01-19,26.33
1992-01-26,26.18
1992-02-02,25.8
1992-02-09,26.38
1992-02-16,26.51
1992-02-23,26.82
1992-03-01,27.38
1992-03-08,27.76
1992-03-15,28.279999
1992-03-22,28.279999
1992-03-29,28.0
1992-04-05,28.67
1992-04-12,28.74
1992-04-19,28.96
1992-04-26,29.369999
1992-05-03,29.72
1992-05-10,30.31
1992-05-17,29.5
1992-05-24,29.65
1992-05-31,29.75
1992-06-07,30.65
1992-06-14,29.72
1992-06-21,29.41
1992-06-28,29.019999
1992-07-05,28.92
1992-07-12,29.32
1992-07-19,29.08
1992-07-26,28.279999
1992-08-02,28.609999
1992-08-09,27.869999
1992-08-16,28.65
1992-08-23,29.109999
1992-08-30,28.689999
1992-09-06,28.609999
1992-09-13,28.699999
1992-09-20,29.75
1992-09-27,29.84
1992-10-04,29.97
1992-10-11,29.73
1992-10-18,28.88
1992-10-25,28.779999
1992-11-01,28.25
1992-11-08,27.88
1992-11-15,27.58
1992-11-22,27.59
1992-11-29,27.38
1992-12-06,27.21
1992-12-13,26.769999
1992-12-20,26.859999
1992-12-27,26.38
1993-01-03,26.039999
1993-01-10,26.38
1993-01-17,26.619999
1993-01-24,26.38
1993-01-31,26.099998
1993-02-07,26.22
1993-02-14,26.48
1993-02-21,26.17
1993-02-28,26.529999
1993-03-07,26.92
1993-03-14,27.49
1993-03-21,27.99
1993-03-28,28.71
1993-04-04,29.3
1993-04-11,28.74
1993-04-18,29.47
1993-04-25,29.47
1993-05-02,29.59
1993-05-09,30.49
1993-05-16,30.039999
1993-05-23,30.39
1993-05-30,30.58
1993-06-06,30.91
1993-06-13,30.039999
1993-06-20,29.8
1993-06-27,29.75
1993-07-04,29.769999
1993-07-11,29.109999
1993-07-18,29.14
1993-07-25,29.189999
1993-08-01,28.56
1993-08-08,29.08
1993-08-15,28.5
1993-08-22,28.939999
1993-08-29,29.199999
1993-09-05,29.199999
1993-09-12,29.189999
1993-09-19,29.029999
1993-09-26,29.47
1993-10-03,29.59
1993-10-10,29.31
1993-10-17,29.17
1993-10-24,29.24
1993-10-31,29.05
1993-11-07,28.56
1993-11-14,28.25
1993-11-21,28.14
1993-11-28,27.189999
1993-12-05,28.05
1993-12-12,26.789999
1993-12-19,27.15
1993-12-26,26.869999
1994-01-02,27.01
1994-01-09,26.71
1994-01-16,26.609999
1994-01-23,26.279999
1994-01-30,26.359999
1994-02-06,26.789999
1994-02-13,26.519999
1994-02-20,26.75
1994-02-27,27.14
1994-03-06,27.019999
1994-03-13,27.55
1994-03-20,27.949999
1994-03-27,27.939999
1994-04-03,28.769999
1994-04-10,29.0
1994-04-17,29.289999
1994-04-24,29.41
1994-05-01,29.75
1994-05-08,30.16
1994-05-15,29.88
1994-05-22,30.39
1994-05-29,30.109999
1994-06-05,29.679998
