date,sst
2010-01-01,293.03998
2010-01-02,293.1
2010-01-03,294.47998
2010-01-04,293.94998
2010-01-05,293.96
2010-01-06,293.88
2010-01-07,293.53998
2010-01-08,292.9
2010-01-09,292.74
2010-01-10,293.4
2010-01-11,293.52
2010-01-12,293.4
2010-01-13,293.19998
2010-01-14,293.5
2010-01-15,293.47
2010-01-16,293.46
2010-01-17,293.13998
2010-01-18,293.1
2010-01-19,292.74
2010-01-20,292.82
2010-01-21,292.31
2010-01-22,292.41998
2010-01-23,292.05
2010-01-24,293.02
2010-01-25,295.05
2010-01-26,295.0
2010-01-27,294.87
2010-01-28,294.38998
2010-01-29,294.09
2010-01-30,294.50998
2010-01-31,294.19
2010-02-01,294.18
2010-02-02,293.44998
2010-02-03,293.41
2010-02-04,292.35
2010-02-05,291.88998
2010-02-06,291.74
2010-02-07,293.11
2010-02-08,293.1
2010-02-09,293.8
2010-02-10,293.94998
2010-02-11,293.94
2010-02-12,293.47998
2010-02-13,292.91
2010-02-14,293.0
2010-02-15,292.97
2010-02-16,292.00998
2010-02-17,292.21
2010-02-18,292.47998
2010-02-19,292.4
2010-02-20,291.91998
2010-02-21,292.0
2010-02-22,292.03
2010-02-23,292.81
2010-02-24,292.91
2010-02-25,293.03
2010-02-26,292.91
2010-02-27,293.86
2010-02-28,293.99
2010-03-01,293.88998
2010-03-02,293.57
2010-03-03,293.53998
2010-03-04,291.9
2010-03-05,292.08
2010-03-06,291.77
2010-03-07,291.38
2010-03-08,291.55
2010-03-09,291.05
2010-03-10,290.22998
2010-03-11,290.66
2010-03-12,290.87
2010-03-13,290.9
2010-03-14,291.36
2010-03-15,291.44
2010-03-16,293.34
2010-03-17,294.83
2010-03-18,293.35
2010-03-19,294.0
2010-03-20,292.87
2010-03-21,293.02
2010-03-22,293.13998
2010-03-23,292.8
2010-03-24,293.44998
2010-03-25,293.00998
2010-03-26,292.35
2010-03-27,293.25998
2010-03-28,294.32
2010-03-29,295.72998
2010-03-30,295.28
2010-03-31,295.78
2010-04-01,295.16998
2010-04-02,294.91998
2010-04-03,294.9
2010-04-04,294.84
2010-04-05,295.36
2010-04-06,295.3
2010-04-07,295.84
2010-04-08,295.65
2010-04-09,295.83
2010-04-10,296.07
2010-04-11,295.97
2010-04-12,296.38
2010-04-13,295.88
2010-04-14,295.63
2010-04-15,295.12
2010-04-16,293.94998
2010-04-17,294.36
2010-04-18,294.16998
2010-04-19,294.25998
2010-04-20,294.55
2010-04-21,295.97
2010-04-22,295.77
2010-04-23,295.99
2010-04-24,295.91998
2010-04-25,296.13
2010-04-26,295.91998
2010-04-27,296.12
2010-04-28,297.4
2010-04-29,297.06
2010-04-30,295.02
2010-05-01,294.72
2010-05-02,294.91998
2010-05-03,295.49
2010-05-04,295.69
2010-05-05,295.57
2010-05-06,295.55
