date,sst
19810901,29.359999
19810902,29.539999
19810903,29.56
19810904,29.529999
19810905,29.539999
19810906,29.55
19810907,29.99
19810908,29.949999
19810909,29.039999
19810910,28.789999
19810911,28.68
19810912,28.74
19810913,28.75
19810914,28.43
19810915,28.08
19810916,27.289999
19810917,27.46
19810918,27.83
19810919,28.46
19810920,28.75
19810921,28.66
19810922,29.07
19810923,29.48
19810924,29.57
19810925,30.05
19810926,30.26
19810927,29.9
19810928,29.92
19810929,29.81
19810930,29.59
19811001,29.24
19811002,28.859999
19811003,28.769999
19811004,28.74
19811005,28.71
19811006,28.68
19811007,27.109999
19811008,27.06
19811009,26.96
19811010,26.83
19811011,26.8
19811012,26.869999
19811013,27.15
19811014,27.25
19811015,27.23
19811016,28.119999
19811017,28.609999
19811018,28.66
19811019,28.81
19811020,28.689999
19811021,28.93
19811022,28.93
19811023,28.24
19811024,28.25
19811025,28.91
19811026,28.859999
19811027,28.88
19811028,28.91
19811029,29.099998
19811030,29.34
19811031,29.019999
19811101,28.869999
19811102,28.59
19811103,29.39
19811104,29.539999
19811105,29.369999
19811106,28.859999
19811107,28.55
19811108,28.34
19811109,27.56
19811110,27.56
19811111,27.76
19811112,27.97
19811113,27.779999
19811114,27.64
19811115,27.38
19811116,27.269999
19811117,28.439999
19811118,28.689999
19811119,29.0
19811120,28.92
19811121,28.96
19811122,29.0
19811123,28.41
19811124,27.91
19811125,28.199999
19811126,28.199999
19811127,28.019999
19811128,28.13
19811129,27.88
19811130,27.66
19811201,27.67
19811202,27.65
19811203,27.41
19811204,26.98
19811205,26.789999
19811206,26.769999
19811207,26.689999
19811208,26.65
19811209,26.349998
19811210,26.199999
19811211,26.109999
19811212,26.039999
19811213,26.119999
19811214,25.65
19811215,25.789999
19811216,26.21
19811217,26.39
19811218,26.39
19811219,25.88
19811220,25.8
19811221,25.369999
19811222,25.21
19811223,25.23
19811224,25.279999
19811225,25.31
19811226,25.029999
19811227,24.64
19811228,25.029999
19811229,25.199999
19811230,24.59
19811231,24.09
19820101,23.91
19820102,24.15
19820103,24.15
19820104,23.84
19820105,23.58
19820106,23.539999
19820107,23.64
19820108,23.91
19820109,24.23
19820110,24.24
19820111,24.189999
19820112,24.279999
19820113,24.16
19820114,24.21
19820115,24.25
19820116,24.289999
19820117,24.24
19820118,23.97
19820119,23.689999
19820120,23.73
19820121,23.699999
19820122,23.47
19820123,23.38
19820124,23.81
19820125,23.88
19820126,23.89
19820127,23.98
19820128,24.01
19820129,24.22
19820130,24.25
19820131,24.39
19820201,24.34
19820202,24.5
19820203,24.32
19820204,24.15
19820205,23.98
19820206,23.859999
19820207,23.609999
19820208,22.75
19820209,22.08
19820210,21.93
19820211,22.33
19820212,22.58
19820213,22.24
19820214,21.1
19820215,20.72
19820216,20.85
19820217,21.17
19820218,21.13
